time_s,port0_voltage,port0_current
0.0,700.0,-0.0
2.5125628140703518e-5,600.0,0.0
5.0251256281407036e-5,600.0,0.0
7.537688442211056e-5,600.0,0.0
0.00010050251256281407,600.0,0.0
0.0001256281407035176,600.0,0.0
0.00015075376884422112,600.0,0.0
0.00017587939698492463,600.0,0.0
0.00020100502512562814,600.0,0.0
0.00022613065326633166,600.0,0.0
0.0002512562814070352,600.0,0.0
0.0002763819095477387,600.0,0.0
0.00030150753768844223,600.0,0.0
0.0003266331658291457,600.0,0.0
0.00035175879396984926,600.0,0.0
0.00037688442211055275,600.0,0.0
0.0004020100502512563,600.0,0.0
0.0004271356783919598,600.0,0.0
0.0004522613065326633,600.0,0.0
0.00047738693467336686,600.0,0.0
0.0005025125628140704,600.0,0.0
0.0005276381909547739,600.0,0.0
0.0005527638190954774,600.0,0.0
0.0005778894472361809,600.0,0.0
0.0006030150753768845,600.0,0.0
0.000628140703517588,600.0,0.0
0.0006532663316582914,600.0,0.0
0.0006783919597989949,600.0,0.0
0.0007035175879396985,600.0,0.0
0.000728643216080402,600.0,0.0
0.0007537688442211055,600.0,0.0
0.0007788944723618091,600.0,0.0
0.0008040201005025126,600.0,0.0
0.0008291457286432161,600.0,0.0
0.0008542713567839196,600.0,0.0
0.0008793969849246232,600.0,0.0
0.0009045226130653266,600.0,0.0
0.0009296482412060301,600.0,0.0
0.0009547738693467337,600.0,0.0
0.000979899497487437,600.0,0.0
0.001,600.0,0.0
0.001,600.0,0.0
0.0010050251256281408,570.09,5811.859
0.0010301507537688443,441.267,4498.556
0.0010552763819095478,341.554,3482.021
0.0010804020100502513,296.57,3023.141
0.0011055276381909548,289.745,2953.565
0.0011306532663316582,283.077,2885.589
0.0011557788944723617,276.562,2819.178
0.0011809045226130652,270.197,2754.296
0.001206030150753769,263.978,2690.907
0.0012311557788944724,257.903,2628.977
0.001256281407035176,251.967,2568.472
0.0012814070351758794,246.168,2509.359
0.0013065326633165829,240.503,2451.607
0.0013316582914572864,234.968,2395.183
0.0013567839195979898,229.56,2340.058
0.0013819095477386936,224.277,2286.202
0.001407035175879397,219.115,2233.586
0.0014321608040201005,214.072,2182.181
0.001457286432160804,209.145,2131.959
0.0014824120603015075,204.332,2082.893
