time_s,port0_voltage,port0_current
0.0,600.0,-0.0
2.5125628140703518e-5,600.0,0.0
5.0251256281407036e-5,600.0,0.0
7.537688442211056e-5,600.0,0.0
0.00010050251256281407,600.0,0.0
0.0001256281407035176,600.0,0.0
0.00015075376884422112,600.0,0.0
0.00017587939698492463,600.0,0.0
0.00020100502512562814,600.0,0.0
0.00022613065326633166,600.0,0.0
0.0002512562814070352,600.0,0.0
0.0002763819095477387,600.0,0.0
0.00030150753768844223,600.0,0.0
0.0003266331658291457,600.0,0.0
0.00035175879396984926,600.0,0.0
0.00037688442211055275,600.0,0.0
0.0004020100502512563,600.0,0.0
0.0004271356783919598,600.0,0.0
0.0004522613065326633,600.0,0.0
0.00047738693467336686,600.0,0.0
0.0005025125628140704,600.0,0.0
0.0005276381909547739,600.0,0.0
0.0005527638190954774,600.0,0.0
0.0005778894472361809,600.0,0.0
0.0006030150753768845,600.0,0.0
0.000628140703517588,600.0,0.0
0.0006532663316582914,600.0,0.0
0.0006783919597989949,600.0,0.0
0.0007035175879396985,600.0,0.0
0.000728643216080402,600.0,0.0
0.0007537688442211055,600.0,0.0
0.0007788944723618091,600.0,0.0
0.0008040201005025126,600.0,0.0
0.0008291457286432161,600.0,0.0
0.0008542713567839196,600.0,0.0
0.0008793969849246232,600.0,0.0
0.0009045226130653266,600.0,0.0
0.0009296482412060301,600.0,0.0
0.0009547738693467337,600.0,0.0
0.000979899497487437,600.0,0.0
0.001,600.0,0.0
0.001,600.0,0.0
0.0010050251256281408,570.09,5811.859
0.0010301507537688443,441.267,4498.558
0.0010552763819095478,341.555,3482.024
0.0010804020100502513,264.374,2695.199
0.0011055276381909548,204.632,2086.15
0.0011306532663316582,158.393,1614.764
0.0011557788944723617,122.601,1249.869
0.0011809045226130652,94.895,967.425
0.001206030150753769,73.455,748.843
0.0012311557788944724,56.856,579.626
0.001256281407035176,44.006,448.622
0.0012814070351758794,34.063,347.263
0.0013065326633165829,26.367,268.807
0.0013316582914572864,20.409,208.06
0.0013567839195979898,15.796,161.03
0.0013819095477386936,12.226,124.644
0.001407035175879397,9.465,96.495
0.0014321608040201005,7.326,74.684
0.001457286432160804,5.67,57.807
0.0014824120603015075,4.388,44.737
0.001507537688442211,3.397,34.631
0.0015326633165829145,2.63,26.813
0.0015577889447236182,2.036,20.752
0.0015829145728643217,1.576,16.062
0.0016080402010050252,1.219,12.429
0.0016331658291457286,0.944,9.62
0.0016582914572864321,0.731,7.449
0.0016834170854271356,0.566,5.768
0.001708542713567839,0.438,4.462
